first_name,last_name,urls
Jamie,Forese,['https://www.americanbanker.com/articles/citigroups-bankers-bond-traders-are-narrowing-gap-on-jpmorgan']
Betsy,Morgan,['https://sofrep.com/85718/first-sneak-peek-at-brandon-webbs-latest-book-total-focus-navy-seals-guide-to-making-decisions-under-pressure/']
Bob,Diamond,['https://www.ft.com/content/12f0f24c-68b2-11e7-9a66-93fb352ba1fe']
Phillip,Frost,['http://www.blouinartinfo.com/news/story/2354016/possible-worlds-at-patricia-phillip-frost-art-museum-miami']
Bob,Diamond,"['http://www.thisismoney.co.uk/money/comment/article-4694336/CITY-DIARY-Axe-man-cometh-Panmure-Gordon-staff.html', 'http://www.bbc.com/news/business-40594349', 'http://www.proactiveinvestors.co.uk/columns/guardian-cfds-newspaper-briefing/28175/in-the-papers-tfl-ee-burberry-southern-rail-28175.html']"
Glenn,Isaacson,['https://commercialobserver.com/2017/07/cw-grabs-another-rival-exec-with-simon-property-vp-to-head-retail-in-the-americas/']
Bill,Alfond,['https://www.forbes.com/sites/denizcam/2017/07/13/billionaire-philanthropist-peter-alfond-dies-at-65/']
Amy,Walter,['http://cookpolitical.com/story/10416']
Phillip,Frost,"['https://www.streetinsider.com/SEC%2BFilings/Form%2B4%2BOpko%2BHealth%252C%2BInc.%2BFor%253A%2BJul%2B12%2BFiled%2Bby%253A%2BFROST%2BPHILLIP%2BMD%2BET%2BAL/13094653.html', 'https://factsreporter.com/2017/07/13/featured-stock-to-see-opko-health-inc-opk/']"
Kirk,Koenigsbauer,['https://www.extremetech.com/computing/252328-microsoft-paid-enterprise-business-subscription-model-windows-office']
David,Pulver,['https://www.baseball-news-blog.com/2017/07/13/private-trust-co-na-decreases-stake-in-carters-inc-cri.html']
Bob,Diamond,"['https://therealdeal.com/2017/07/12/the-biggest-price-cuts-on-luxury-pads-last-week-17/', 'https://www.fnlondon.com/articles/nicky-morgan-named-new-interrogator-in-chief-of-the-city-20170712']"
Barbro,Osher,['http://www.sfchronicle.com/entertainment/article/Kids-11284026.php']
Bob,Diamond,"['http://www.thisismoney.co.uk/money/news/article-4747882/Prince-Andrew-s-ex-Amanda-Staveley-Ridley-Scott-film.html', 'http://www.henleystandard.co.uk/news/stable-talk/113378/jumper-s-making-the-leap-to-coach-abroad.html']"
Bill,Alfond,['http://www.colby.edu/news/2017/07/31/early-work-begins-on-athletic-complex-fields-near-completion/']
Bill,Alfond,['http://www.centralmaine.com/2017/07/11/philanthropist-peter-g-alfond-dies/']
James,Crook,['https://vtdigger.org/2017/07/11/burlington-labs-emerges-new-name-partner/']
Peter,Lunder,['http://www.centralmaine.com/2017/07/11/philanthropist-peter-g-alfond-dies/']
Paula,Lunder,['http://www.centralmaine.com/2017/07/11/philanthropist-peter-g-alfond-dies/']
Phillip,Frost,['https://www.reuters.com/article/brief-opko-health-ceo-phillip-frost-buys-idUSFWN1K2059']
Kirk,Koenigsbauer,"['http://www.healthcareitnews.com/news/microsoft-rolls-office-and-windows-together-launches-azure-stack-hybrid-cloud', 'http://www.eweek.com/enterprise-apps/windows-10-office-365-and-ems-bundled-into-microsoft-365']"
